"key","denote1","denote2","pvalue","warning","t1","t2"
"spectral_diversity_1920_~_spectral_diversity_1990",0.90877356240214,0.909680020461756,0.305250545401119,NA,-0.00491252013613901,-0.0186945937662619
"entropy_1920_~_betweenness_1990",0.215547243123505,0.570488213285318,0,NA,-7.80226134272808e-07,-0.181830977364653
"entropy_1920_~_zipf_1990",0.334887470489251,0.370352726148947,0.111028330065478,NA,-0.0404079607856172,-0.0599727786531905
"entropy_1920_~_entropy_1990",0.656714648086206,0.655882172355325,0.933373594067668,NA,-0.117047382435938,-0.116280766787064
"betweenness_1920_~_betweenness_2000",0.978761576296318,0.898249101870343,6.23422514753891e-05,NA,-0.00119479529123722,-9.88422273111574e-06
"betweenness_1920_~_zipf_2000",0.676862897898854,0.469959329010149,0,NA,-0.200475318376061,-5.42353210931404e-08
"betweenness_1920_~_spectral_diversity_2000",0.840026475006943,0.313580460934977,6.3948846218409e-14,NA,-0.0656362261639821,-3.42808730406265e-08
"betweenness_1920_~_entropy_2000",0.59250974821795,0.130689265890457,0,NA,-0.219912308034325,-1.31792744343027e-08
"zipf_1920_~_betweenness_2000",0.575786129943302,0.729246397698882,0,NA,-5.59356740647405e-06,-0.149741798210678
"zipf_1920_~_zipf_2000",0.676333001061867,0.6749899943566,0.00111889541220145,NA,-0.138857984869926,-0.0840965331372376
"zipf_1920_~_spectral_diversity_2000",0.476046154068408,0.490878284764444,0.234027829989301,NA,-0.0074535254400462,-0.0480149522816093
"zipf_1920_~_entropy_2000",0.359991015414347,0.320248923768108,0.0129892258059701,NA,-0.0849364601094974,-0.0365905026193266
"spectral_diversity_1920_~_betweenness_2000",0.338686426215406,0.78307033641963,0,NA,-3.14920609332101e-06,-0.0606519550948657
"spectral_diversity_1920_~_zipf_2000",0.429730065748871,0.429891404706644,0.955607257116989,NA,-0.0343678936943626,-0.0316739206943955
"spectral_diversity_1920_~_spectral_diversity_2000",0.888445012661986,0.890549134299963,0.694700939127492,NA,-0.0166131214555658,-0.0211956945399617
"entropy_1920_~_betweenness_2000",0.252817711173332,0.560549877861083,0,NA,-2.35126808566059e-06,-0.188155211822331
"entropy_1920_~_zipf_2000",0.320436209140174,0.35485023754073,0.0398461156677536,NA,-0.0401913628555201,-0.0741569916385955
